run,arm,problem_index,seed,_step,curve/batch_max_reward,curve/batch_mean_reward,train/self_distillation/rewards/reward_fn,curve/mean_reward,train/self_distillation/reward_mean,train/self_distillation/group_reward_std_mean,train/self_distillation/reward_min,train/self_distillation/reward_max,train/self_distillation/reward_std,curve/max_reward
discovery-Qwen3-4B-idx39-15step-hybrid-T2_standard,SF,39,1,2.0,,,,0.1,,,,,,0.175
discovery-Qwen3-4B-idx39-15step-hybrid-T2_standard,SF,39,1,3.0,,,,0.1875,,,,,,0.6
discovery-Qwen3-4B-idx39-15step-hybrid-T2_standard,SF,39,1,4.0,,,,0.11249999999999999,,,,,,0.175
discovery-Qwen3-4B-idx39-15step-hybrid-T2_standard,SF,39,1,5.0,,,,0.05625,,,,,,0.075
discovery-Qwen3-4B-idx39-15step-hybrid-T2_standard,SF,39,1,6.0,,,,0.14375,,,,,,0.175
discovery-Qwen3-4B-idx39-15step-hybrid-T2_standard,SF,39,1,7.0,,,,0.35,,,,,,1.0
discovery-Qwen3-4B-idx39-15step-hybrid-T2_standard,SF,39,1,8.0,,,,0.35625,,,,,,1.0
discovery-Qwen3-4B-idx39-15step-hybrid-T2_standard,SF,39,1,9.0,,,,0.08125,,,,,,0.175
discovery-Qwen3-4B-idx39-15step-hybrid-T2_standard,SF,39,1,10.0,,,0.22187499925494195,,0.22187499925494195,0.1949723453260958,0.075,0.47000000029802325,0.1949723453260958,
discovery-Qwen3-4B-idx39-15step-hybrid-T2_standard,SF,39,1,11.0,,,,0.11249999999999999,,,,,,0.175
discovery-Qwen3-4B-idx39-15step-hybrid-T2_standard,SF,39,1,12.0,,,,0.08125,,,,,,0.175
discovery-Qwen3-4B-idx39-15step-hybrid-T2_standard,SF,39,1,13.0,,,,0.08125,,,,,,0.175
discovery-Qwen3-4B-idx39-15step-hybrid-T2_standard,SF,39,1,14.0,,,,0.31875,,,,,,1.0
discovery-Qwen3-4B-idx39-15step-hybrid-T2_standard,SF,39,1,15.0,,,,0.31875,,,,,,1.0
discovery-Qwen3-4B-idx39-15step-hybrid-T2_standard,SF,39,1,16.0,,,0.18249999582767487,,0.18249999582767487,0.2226230889558792,0.05000000074505806,0.5049999982118607,0.2226230889558792,
teacherfirst-Qwen3-4B-idx39-15step-good_only-llm-T2_standard,TF,39,1,0.0,0.175,0.0875,,,,,,,,
teacherfirst-Qwen3-4B-idx39-15step-good_only-llm-T2_standard,TF,39,1,1.0,0.325,0.1225,,,,,,,,
teacherfirst-Qwen3-4B-idx39-15step-good_only-llm-T2_standard,TF,39,1,2.0,1.0,0.38,,,,,,,,
teacherfirst-Qwen3-4B-idx39-15step-good_only-llm-T2_standard,TF,39,1,3.0,1.0,1.0,,,,,,,,
teacherfirst-Qwen3-4B-idx39-15step-good_only-llm-T2_standard,TF,39,1,4.0,1.0,1.0,,,,,,,,
teacherfirst-Qwen3-4B-idx39-15step-good_only-llm-T2_standard,TF,39,1,5.0,1.0,1.0,,,,,,,,
teacherfirst-Qwen3-4B-idx39-15step-good_only-llm-T2_standard,TF,39,1,6.0,1.0,1.0,,,,,,,,
teacherfirst-Qwen3-4B-idx39-15step-good_only-llm-T2_standard,TF,39,1,7.0,1.0,1.0,,,,,,,,
teacherfirst-Qwen3-4B-idx39-15step-good_only-llm-T2_standard,TF,39,1,8.0,1.0,1.0,,,,,,,,
teacherfirst-Qwen3-4B-idx39-15step-good_only-llm-T2_standard,TF,39,1,9.0,1.0,1.0,,,,,,,,
teacherfirst-Qwen3-4B-idx39-15step-good_only-llm-T2_standard,TF,39,1,10.0,1.0,1.0,,,,,,,,
teacherfirst-Qwen3-4B-idx39-15step-good_only-llm-T2_standard,TF,39,1,11.0,1.0,1.0,,,,,,,,
teacherfirst-Qwen3-4B-idx39-15step-good_only-llm-T2_standard,TF,39,1,12.0,1.0,1.0,,,,,,,,
teacherfirst-Qwen3-4B-idx39-15step-good_only-llm-T2_standard,TF,39,1,13.0,1.0,1.0,,,,,,,,
teacherfirst-Qwen3-4B-idx39-15step-good_only-llm-T2_standard,TF,39,1,14.0,1.0,1.0,,,,,,,,
teacherfirst-Qwen3-4B-idx39-15step-good_only-llm-T2_standard,TF,39,1,0.0,0.175,0.0875,,,,,,,,
teacherfirst-Qwen3-4B-idx39-15step-good_only-llm-T2_standard,TF,39,1,1.0,0.325,0.1225,,,,,,,,
teacherfirst-Qwen3-4B-idx39-15step-good_only-llm-T2_standard,TF,39,1,2.0,1.0,0.38,,,,,,,,
teacherfirst-Qwen3-4B-idx39-15step-good_only-llm-T2_standard,TF,39,1,3.0,1.0,1.0,,,,,,,,
teacherfirst-Qwen3-4B-idx39-15step-good_only-llm-T2_standard,TF,39,1,4.0,1.0,1.0,,,,,,,,
teacherfirst-Qwen3-4B-idx39-15step-good_only-llm-T2_standard,TF,39,1,5.0,1.0,1.0,,,,,,,,
teacherfirst-Qwen3-4B-idx39-15step-good_only-llm-T2_standard,TF,39,1,6.0,1.0,1.0,,,,,,,,
teacherfirst-Qwen3-4B-idx39-15step-good_only-llm-T2_standard,TF,39,1,7.0,1.0,1.0,,,,,,,,
teacherfirst-Qwen3-4B-idx39-15step-good_only-llm-T2_standard,TF,39,1,8.0,1.0,1.0,,,,,,,,
teacherfirst-Qwen3-4B-idx39-15step-good_only-llm-T2_standard,TF,39,1,9.0,1.0,1.0,,,,,,,,
teacherfirst-Qwen3-4B-idx39-15step-good_only-llm-T2_standard,TF,39,1,10.0,1.0,1.0,,,,,,,,
teacherfirst-Qwen3-4B-idx39-15step-good_only-llm-T2_standard,TF,39,1,11.0,1.0,1.0,,,,,,,,
teacherfirst-Qwen3-4B-idx39-15step-good_only-llm-T2_standard,TF,39,1,12.0,1.0,1.0,,,,,,,,
teacherfirst-Qwen3-4B-idx39-15step-good_only-llm-T2_standard,TF,39,1,13.0,1.0,1.0,,,,,,,,
teacherfirst-Qwen3-4B-idx39-15step-good_only-llm-T2_standard,TF,39,1,14.0,1.0,1.0,,,,,,,,
teacherfirst-Qwen3-4B-idx39-15step-good_bad-llm-T2_standard,TF,39,1,0.0,0.175,0.0875,,,,,,,,
teacherfirst-Qwen3-4B-idx39-15step-good_bad-llm-T2_standard,TF,39,1,1.0,0.325,0.1225,,,,,,,,
teacherfirst-Qwen3-4B-idx39-15step-good_bad-llm-T2_standard,TF,39,1,2.0,1.0,0.38,,,,,,,,
teacherfirst-Qwen3-4B-idx39-15step-good_bad-llm-T2_standard,TF,39,1,3.0,1.0,1.0,,,,,,,,
teacherfirst-Qwen3-4B-idx39-15step-good_bad-llm-T2_standard,TF,39,1,4.0,1.0,1.0,,,,,,,,
teacherfirst-Qwen3-4B-idx39-15step-good_bad-llm-T2_standard,TF,39,1,5.0,1.0,1.0,,,,,,,,
teacherfirst-Qwen3-4B-idx39-15step-good_bad-llm-T2_standard,TF,39,1,6.0,1.0,1.0,,,,,,,,
teacherfirst-Qwen3-4B-idx39-15step-good_bad-llm-T2_standard,TF,39,1,7.0,1.0,1.0,,,,,,,,
teacherfirst-Qwen3-4B-idx39-15step-good_bad-llm-T2_standard,TF,39,1,8.0,1.0,1.0,,,,,,,,
teacherfirst-Qwen3-4B-idx39-15step-good_bad-llm-T2_standard,TF,39,1,9.0,1.0,1.0,,,,,,,,
teacherfirst-Qwen3-4B-idx39-15step-good_bad-llm-T2_standard,TF,39,1,10.0,1.0,1.0,,,,,,,,
teacherfirst-Qwen3-4B-idx39-15step-good_bad-llm-T2_standard,TF,39,1,11.0,1.0,1.0,,,,,,,,
teacherfirst-Qwen3-4B-idx39-15step-good_bad-llm-T2_standard,TF,39,1,12.0,1.0,1.0,,,,,,,,
teacherfirst-Qwen3-4B-idx39-15step-good_bad-llm-T2_standard,TF,39,1,13.0,1.0,1.0,,,,,,,,
teacherfirst-Qwen3-4B-idx39-15step-good_bad-llm-T2_standard,TF,39,1,14.0,1.0,1.0,,,,,,,,
discovery-Qwen3-4B-idx64-15step-hybrid-T2_standard,SF,64,1,0.0,,,,0.60625,,,,,,0.625
discovery-Qwen3-4B-idx64-15step-hybrid-T2_standard,SF,64,1,1.0,,,,0.35,,,,,,0.6
discovery-Qwen3-4B-idx64-15step-hybrid-T2_standard,SF,64,1,2.0,,,,0.44999999999999996,,,,,,0.6
discovery-Qwen3-4B-idx64-15step-hybrid-T2_standard,SF,64,1,3.0,,,,0.51875,,,,,,1.0
discovery-Qwen3-4B-idx64-15step-hybrid-T2_standard,SF,64,1,4.0,,,,0.39375,,,,,,0.825
discovery-Qwen3-4B-idx64-15step-hybrid-T2_standard,SF,64,1,5.0,,,,0.5125,,,,,,0.775
discovery-Qwen3-4B-idx64-15step-hybrid-T2_standard,SF,64,1,6.0,,,,0.6,,,,,,0.8
discovery-Qwen3-4B-idx64-15step-hybrid-T2_standard,SF,64,1,7.0,,,,0.49375,,,,,,0.7
discovery-Qwen3-4B-idx64-15step-hybrid-T2_standard,SF,64,1,8.0,,,,0.33125,,,,,,0.7
discovery-Qwen3-4B-idx64-15step-hybrid-T2_standard,SF,64,1,9.0,,,,0.49375,,,,,,0.775
discovery-Qwen3-4B-idx64-15step-hybrid-T2_standard,SF,64,1,10.0,,,0.4750000208616257,,0.4750000208616257,0.3008883535861969,0.10000000298023223,0.7399999976158143,0.3008883535861969,
discovery-Qwen3-4B-idx64-15step-hybrid-T2_standard,SF,64,1,11.0,,,,0.44999999999999996,,,,,,0.6
discovery-Qwen3-4B-idx64-15step-hybrid-T2_standard,SF,64,1,12.0,,,,0.50625,,,,,,0.725
discovery-Qwen3-4B-idx64-15step-hybrid-T2_standard,SF,64,1,13.0,,,,0.45625,,,,,,1.0
discovery-Qwen3-4B-idx64-15step-hybrid-T2_standard,SF,64,1,14.0,,,,0.4,,,,,,0.7
discovery-Qwen3-4B-idx64-15step-hybrid-T2_standard,SF,64,1,15.0,,,,0.3125,,,,,,0.65
discovery-Qwen3-4B-idx64-15step-hybrid-T2_standard,SF,64,1,16.0,,,0.4250000059604645,,0.4250000059604645,0.37267509698867796,0.005000000074505806,0.7350000023841858,0.37267509698867796,
teacherfirst-Qwen3-4B-idx64-15step-good_only-llm-T2_standard,TF,64,1,0.0,0.8,0.485,,,,,,,,
teacherfirst-Qwen3-4B-idx64-15step-good_only-llm-T2_standard,TF,64,1,1.0,0.875,0.67,,,,,,,,
teacherfirst-Qwen3-4B-idx64-15step-good_only-llm-T2_standard,TF,64,1,2.0,0.975,0.6,,,,,,,,
teacherfirst-Qwen3-4B-idx64-15step-good_only-llm-T2_standard,TF,64,1,3.0,1.0,0.5875,,,,,,,,
teacherfirst-Qwen3-4B-idx64-15step-good_only-llm-T2_standard,TF,64,1,4.0,1.0,0.985,,,,,,,,
teacherfirst-Qwen3-4B-idx64-15step-good_only-llm-T2_standard,TF,64,1,5.0,1.0,1.0,,,,,,,,
teacherfirst-Qwen3-4B-idx64-15step-good_only-llm-T2_standard,TF,64,1,6.0,1.0,1.0,,,,,,,,
teacherfirst-Qwen3-4B-idx64-15step-good_only-llm-T2_standard,TF,64,1,7.0,1.0,1.0,,,,,,,,
teacherfirst-Qwen3-4B-idx64-15step-good_only-llm-T2_standard,TF,64,1,8.0,1.0,1.0,,,,,,,,
teacherfirst-Qwen3-4B-idx64-15step-good_only-llm-T2_standard,TF,64,1,9.0,1.0,1.0,,,,,,,,
teacherfirst-Qwen3-4B-idx64-15step-good_only-llm-T2_standard,TF,64,1,10.0,1.0,1.0,,,,,,,,
teacherfirst-Qwen3-4B-idx64-15step-good_only-llm-T2_standard,TF,64,1,11.0,1.0,1.0,,,,,,,,
teacherfirst-Qwen3-4B-idx64-15step-good_only-llm-T2_standard,TF,64,1,12.0,1.0,1.0,,,,,,,,
teacherfirst-Qwen3-4B-idx64-15step-good_only-llm-T2_standard,TF,64,1,13.0,1.0,1.0,,,,,,,,
teacherfirst-Qwen3-4B-idx64-15step-good_only-llm-T2_standard,TF,64,1,14.0,1.0,1.0,,,,,,,,
discovery-Qwen3-4B-idx64-15step-hybrid-T2_standard,SF,64,2,0.0,,,,0.6625,,,,,,0.85
discovery-Qwen3-4B-idx64-15step-hybrid-T2_standard,SF,64,2,1.0,,,,0.4,,,,,,0.6
discovery-Qwen3-4B-idx64-15step-hybrid-T2_standard,SF,64,2,2.0,,,,0.64375,,,,,,0.725
discovery-Qwen3-4B-idx64-15step-hybrid-T2_standard,SF,64,2,3.0,,,,0.5375,,,,,,0.6
discovery-Qwen3-4B-idx64-15step-hybrid-T2_standard,SF,64,2,4.0,,,,0.4,,,,,,1.0
discovery-Qwen3-4B-idx64-15step-hybrid-T2_standard,SF,64,2,5.0,,,,0.61875,,,,,,0.7
discovery-Qwen3-4B-idx64-15step-hybrid-T2_standard,SF,64,2,6.0,,,,0.6499999999999999,,,,,,0.7
discovery-Qwen3-4B-idx64-15step-hybrid-T2_standard,SF,64,2,7.0,,,,0.6,,,,,,0.6
discovery-Qwen3-4B-idx64-15step-hybrid-T2_standard,SF,64,2,8.0,,,,0.66875,,,,,,0.775
discovery-Qwen3-4B-idx64-15step-hybrid-T2_standard,SF,64,2,9.0,,,,0.7875,,,,,,1.0
discovery-Qwen3-4B-idx64-15step-hybrid-T2_standard,SF,64,2,10.0,,,0.5968750059604645,,0.5968750059604645,0.1487207368016243,0.4450000137090683,0.7550000071525573,0.1487207368016243,
discovery-Qwen3-4B-idx64-15step-hybrid-T2_standard,SF,64,2,11.0,,,,0.5625,,,,,,0.65
discovery-Qwen3-4B-idx64-15step-hybrid-T2_standard,SF,64,2,12.0,,,,0.6375,,,,,,0.7
discovery-Qwen3-4B-idx64-15step-hybrid-T2_standard,SF,64,2,13.0,,,,0.51875,,,,,,0.8
discovery-Qwen3-4B-idx64-15step-hybrid-T2_standard,SF,64,2,14.0,,,,0.675,,,,,,0.775
discovery-Qwen3-4B-idx64-15step-hybrid-T2_standard,SF,64,2,15.0,,,,0.40625,,,,,,0.625
discovery-Qwen3-4B-idx64-15step-hybrid-T2_standard,SF,64,2,16.0,,,0.5599999904632569,,0.5599999904632569,0.17418433129787445,0.32500000596046447,0.7099999904632568,0.17418433129787445,
teacherfirst-Qwen3-4B-idx64-15step-good_only-llm-T2_standard,TF,64,2,0.0,0.925,0.5375,,,,,,,,
teacherfirst-Qwen3-4B-idx64-15step-good_only-llm-T2_standard,TF,64,2,1.0,0.925,0.5175,,,,,,,,
teacherfirst-Qwen3-4B-idx64-15step-good_only-llm-T2_standard,TF,64,2,2.0,0.925,0.5925,,,,,,,,
teacherfirst-Qwen3-4B-idx64-15step-good_only-llm-T2_standard,TF,64,2,3.0,0.925,0.5875,,,,,,,,
teacherfirst-Qwen3-4B-idx64-15step-good_only-llm-T2_standard,TF,64,2,4.0,1.0,0.665,,,,,,,,
teacherfirst-Qwen3-4B-idx64-15step-good_only-llm-T2_standard,TF,64,2,5.0,0.85,0.6124999999999999,,,,,,,,
teacherfirst-Qwen3-4B-idx64-15step-good_only-llm-T2_standard,TF,64,2,6.0,1.0,0.715,,,,,,,,
teacherfirst-Qwen3-4B-idx64-15step-good_only-llm-T2_standard,TF,64,2,7.0,1.0,0.985,,,,,,,,
