problem_index,seed,arm,name,step,reward
39,1,TF,teacherfirst-Qwen3-4B-idx39-15step-good_only-llm-T2_standard,7.0,1.0
39,1,TF,teacherfirst-Qwen3-4B-idx39-15step-good_only-llm-T2_standard,8.0,1.0
39,1,TF,teacherfirst-Qwen3-4B-idx39-15step-good_only-llm-T2_standard,9.0,1.0
39,1,TF,teacherfirst-Qwen3-4B-idx39-15step-good_only-llm-T2_standard,10.0,1.0
39,1,TF,teacherfirst-Qwen3-4B-idx39-15step-good_only-llm-T2_standard,11.0,1.0
39,1,TF,teacherfirst-Qwen3-4B-idx39-15step-good_only-llm-T2_standard,12.0,1.0
39,1,TF,teacherfirst-Qwen3-4B-idx39-15step-good_only-llm-T2_standard,13.0,1.0
39,1,TF,teacherfirst-Qwen3-4B-idx39-15step-good_only-llm-T2_standard,14.0,1.0
39,1,TF,teacherfirst-Qwen3-4B-idx39-15step-good_only-llm-T2_standard,15.0,1.0
39,1,TF,teacherfirst-Qwen3-4B-idx39-15step-good_only-llm-T2_standard,1.0,0.0875
39,1,TF,teacherfirst-Qwen3-4B-idx39-15step-good_only-llm-T2_standard,2.0,0.1225
39,1,TF,teacherfirst-Qwen3-4B-idx39-15step-good_only-llm-T2_standard,3.0,0.38
39,1,TF,teacherfirst-Qwen3-4B-idx39-15step-good_only-llm-T2_standard,4.0,1.0
39,1,TF,teacherfirst-Qwen3-4B-idx39-15step-good_only-llm-T2_standard,5.0,1.0
39,1,TF,teacherfirst-Qwen3-4B-idx39-15step-good_only-llm-T2_standard,6.0,1.0
39,1,TF,teacherfirst-Qwen3-4B-idx39-15step-good_only-llm-T2_standard,7.0,1.0
39,1,TF,teacherfirst-Qwen3-4B-idx39-15step-good_only-llm-T2_standard,8.0,1.0
39,1,TF,teacherfirst-Qwen3-4B-idx39-15step-good_only-llm-T2_standard,9.0,1.0
39,1,TF,teacherfirst-Qwen3-4B-idx39-15step-good_only-llm-T2_standard,10.0,1.0
39,1,TF,teacherfirst-Qwen3-4B-idx39-15step-good_only-llm-T2_standard,11.0,1.0
39,1,TF,teacherfirst-Qwen3-4B-idx39-15step-good_only-llm-T2_standard,12.0,1.0
39,1,TF,teacherfirst-Qwen3-4B-idx39-15step-good_only-llm-T2_standard,13.0,1.0
39,1,TF,teacherfirst-Qwen3-4B-idx39-15step-good_only-llm-T2_standard,14.0,1.0
39,1,TF,teacherfirst-Qwen3-4B-idx39-15step-good_only-llm-T2_standard,15.0,1.0
64,1,SF,discovery-Qwen3-4B-idx64-15step-hybrid-T2_standard,1.0,0.60625
64,1,SF,discovery-Qwen3-4B-idx64-15step-hybrid-T2_standard,2.0,0.35
64,1,SF,discovery-Qwen3-4B-idx64-15step-hybrid-T2_standard,3.0,0.44999999999999996
64,1,SF,discovery-Qwen3-4B-idx64-15step-hybrid-T2_standard,4.0,0.51875
64,1,SF,discovery-Qwen3-4B-idx64-15step-hybrid-T2_standard,5.0,0.39375
64,1,SF,discovery-Qwen3-4B-idx64-15step-hybrid-T2_standard,6.0,0.5125
64,1,SF,discovery-Qwen3-4B-idx64-15step-hybrid-T2_standard,7.0,0.6
64,1,SF,discovery-Qwen3-4B-idx64-15step-hybrid-T2_standard,8.0,0.49375
64,1,SF,discovery-Qwen3-4B-idx64-15step-hybrid-T2_standard,9.0,0.33125
64,1,SF,discovery-Qwen3-4B-idx64-15step-hybrid-T2_standard,10.0,0.49375
64,1,SF,discovery-Qwen3-4B-idx64-15step-hybrid-T2_standard,11.0,0.44999999999999996
64,1,SF,discovery-Qwen3-4B-idx64-15step-hybrid-T2_standard,12.0,0.50625
64,1,SF,discovery-Qwen3-4B-idx64-15step-hybrid-T2_standard,13.0,0.45625
64,1,SF,discovery-Qwen3-4B-idx64-15step-hybrid-T2_standard,14.0,0.4
64,1,SF,discovery-Qwen3-4B-idx64-15step-hybrid-T2_standard,15.0,0.3125
64,1,TF,teacherfirst-Qwen3-4B-idx64-15step-good_only-llm-T2_standard,1.0,0.485
64,1,TF,teacherfirst-Qwen3-4B-idx64-15step-good_only-llm-T2_standard,2.0,0.67
64,1,TF,teacherfirst-Qwen3-4B-idx64-15step-good_only-llm-T2_standard,3.0,0.6
64,1,TF,teacherfirst-Qwen3-4B-idx64-15step-good_only-llm-T2_standard,4.0,0.5875
64,1,TF,teacherfirst-Qwen3-4B-idx64-15step-good_only-llm-T2_standard,5.0,0.985
64,1,TF,teacherfirst-Qwen3-4B-idx64-15step-good_only-llm-T2_standard,6.0,1.0
64,1,TF,teacherfirst-Qwen3-4B-idx64-15step-good_only-llm-T2_standard,7.0,1.0
64,1,TF,teacherfirst-Qwen3-4B-idx64-15step-good_only-llm-T2_standard,8.0,1.0
64,1,TF,teacherfirst-Qwen3-4B-idx64-15step-good_only-llm-T2_standard,9.0,1.0
64,1,TF,teacherfirst-Qwen3-4B-idx64-15step-good_only-llm-T2_standard,10.0,1.0
64,1,TF,teacherfirst-Qwen3-4B-idx64-15step-good_only-llm-T2_standard,11.0,1.0
64,1,TF,teacherfirst-Qwen3-4B-idx64-15step-good_only-llm-T2_standard,12.0,1.0
64,1,TF,teacherfirst-Qwen3-4B-idx64-15step-good_only-llm-T2_standard,13.0,1.0
64,1,TF,teacherfirst-Qwen3-4B-idx64-15step-good_only-llm-T2_standard,14.0,1.0
64,1,TF,teacherfirst-Qwen3-4B-idx64-15step-good_only-llm-T2_standard,15.0,1.0
64,2,SF,discovery-Qwen3-4B-idx64-15step-hybrid-T2_standard,1.0,0.6625
64,2,SF,discovery-Qwen3-4B-idx64-15step-hybrid-T2_standard,2.0,0.4
64,2,SF,discovery-Qwen3-4B-idx64-15step-hybrid-T2_standard,3.0,0.64375
64,2,SF,discovery-Qwen3-4B-idx64-15step-hybrid-T2_standard,4.0,0.5375
64,2,SF,discovery-Qwen3-4B-idx64-15step-hybrid-T2_standard,5.0,0.4
64,2,SF,discovery-Qwen3-4B-idx64-15step-hybrid-T2_standard,6.0,0.61875
64,2,SF,discovery-Qwen3-4B-idx64-15step-hybrid-T2_standard,7.0,0.6499999999999999
64,2,SF,discovery-Qwen3-4B-idx64-15step-hybrid-T2_standard,8.0,0.6
64,2,SF,discovery-Qwen3-4B-idx64-15step-hybrid-T2_standard,9.0,0.66875
64,2,SF,discovery-Qwen3-4B-idx64-15step-hybrid-T2_standard,10.0,0.7875
64,2,SF,discovery-Qwen3-4B-idx64-15step-hybrid-T2_standard,11.0,0.5625
64,2,SF,discovery-Qwen3-4B-idx64-15step-hybrid-T2_standard,12.0,0.6375
64,2,SF,discovery-Qwen3-4B-idx64-15step-hybrid-T2_standard,13.0,0.51875
64,2,SF,discovery-Qwen3-4B-idx64-15step-hybrid-T2_standard,14.0,0.675
64,2,SF,discovery-Qwen3-4B-idx64-15step-hybrid-T2_standard,15.0,0.40625
64,2,TF,teacherfirst-Qwen3-4B-idx64-15step-good_only-llm-T2_standard,1.0,0.5375
